"","DATE","VALUE"
"1","2010-01-04","1132.99"
"2","2010-01-05","1136.52"
"3","2010-01-06","1137.14"
"4","2010-01-07","1141.69"
"5","2010-01-08","1144.98"
"6","2010-01-11","1146.98"
"7","2010-01-12","1136.22"
"8","2010-01-13","1145.68"
"9","2010-01-14","1148.46"
"10","2010-01-15","1136.03"
"12","2010-01-19","1150.23"
"13","2010-01-20","1138.04"
"14","2010-01-21","1116.48"
"15","2010-01-22","1091.76"
"16","2010-01-25","1096.78"
"17","2010-01-26","1092.17"
"18","2010-01-27","1097.50"
"19","2010-01-28","1084.53"
"20","2010-01-29","1073.87"
"21","2010-02-01","1089.19"
"22","2010-02-02","1103.32"
"23","2010-02-03","1097.28"
"24","2010-02-04","1063.11"
"25","2010-02-05","1066.19"
"26","2010-02-08","1056.74"
"27","2010-02-09","1070.52"
"28","2010-02-10","1068.13"
"29","2010-02-11","1078.47"
"30","2010-02-12","1075.51"
"32","2010-02-16","1094.87"
"33","2010-02-17","1099.51"
"34","2010-02-18","1106.75"
"35","2010-02-19","1109.17"
"36","2010-02-22","1108.01"
"37","2010-02-23","1094.60"
"38","2010-02-24","1105.24"
"39","2010-02-25","1102.94"
"40","2010-02-26","1104.49"
"41","2010-03-01","1115.71"
"42","2010-03-02","1118.31"
"43","2010-03-03","1118.79"
"44","2010-03-04","1122.97"
"45","2010-03-05","1138.70"
"46","2010-03-08","1138.50"
"47","2010-03-09","1140.45"
"48","2010-03-10","1145.61"
"49","2010-03-11","1150.24"
"50","2010-03-12","1149.99"
"51","2010-03-15","1150.51"
"52","2010-03-16","1159.46"
"53","2010-03-17","1166.21"
"54","2010-03-18","1165.83"
"55","2010-03-19","1159.90"
"56","2010-03-22","1165.81"
"57","2010-03-23","1174.17"
"58","2010-03-24","1167.72"
"59","2010-03-25","1165.73"
"60","2010-03-26","1166.59"
"61","2010-03-29","1173.22"
"62","2010-03-30","1173.27"
"63","2010-03-31","1169.43"
"64","2010-04-01","1178.10"
"66","2010-04-05","1187.44"
"67","2010-04-06","1189.44"
"68","2010-04-07","1182.45"
"69","2010-04-08","1186.44"
"70","2010-04-09","1194.37"
"71","2010-04-12","1196.48"
"72","2010-04-13","1197.30"
"73","2010-04-14","1210.65"
"74","2010-04-15","1211.67"
"75","2010-04-16","1192.13"
"76","2010-04-19","1197.52"
"77","2010-04-20","1207.17"
"78","2010-04-21","1205.94"
"79","2010-04-22","1208.67"
"80","2010-04-23","1217.28"
"81","2010-04-26","1212.05"
"82","2010-04-27","1183.71"
"83","2010-04-28","1191.36"
"84","2010-04-29","1206.78"
"85","2010-04-30","1186.69"
"86","2010-05-03","1202.26"
"87","2010-05-04","1173.60"
"88","2010-05-05","1165.90"
"89","2010-05-06","1128.15"
"90","2010-05-07","1110.88"
"91","2010-05-10","1159.73"
"92","2010-05-11","1155.79"
"93","2010-05-12","1171.67"
"94","2010-05-13","1157.44"
"95","2010-05-14","1135.68"
"96","2010-05-17","1136.94"
"97","2010-05-18","1120.80"
"98","2010-05-19","1115.05"
"99","2010-05-20","1071.59"
"100","2010-05-21","1087.69"
"101","2010-05-24","1073.65"
"102","2010-05-25","1074.03"
"103","2010-05-26","1067.95"
"104","2010-05-27","1103.06"
"105","2010-05-28","1089.41"
"107","2010-06-01","1070.71"
"108","2010-06-02","1098.38"
"109","2010-06-03","1102.83"
"110","2010-06-04","1064.88"
"111","2010-06-07","1050.47"
"112","2010-06-08","1062.00"
"113","2010-06-09","1055.69"
"114","2010-06-10","1086.84"
"115","2010-06-11","1091.60"
"116","2010-06-14","1089.63"
"117","2010-06-15","1115.23"
"118","2010-06-16","1114.61"
"119","2010-06-17","1116.04"
"120","2010-06-18","1117.51"
"121","2010-06-21","1113.20"
"122","2010-06-22","1095.31"
"123","2010-06-23","1092.04"
"124","2010-06-24","1073.69"
"125","2010-06-25","1076.76"
"126","2010-06-28","1074.57"
"127","2010-06-29","1041.24"
"128","2010-06-30","1030.71"
"129","2010-07-01","1027.37"
"130","2010-07-02","1022.58"
"132","2010-07-06","1028.06"
"133","2010-07-07","1060.27"
"134","2010-07-08","1070.25"
"135","2010-07-09","1077.96"
"136","2010-07-12","1078.75"
"137","2010-07-13","1095.34"
"138","2010-07-14","1095.17"
"139","2010-07-15","1096.48"
"140","2010-07-16","1064.88"
